Voter ID,First Name,Last Name,Phone,Email,Donor Records,Voter ID Records,Sign Requests,Volunteer Status
LL-770487,Joseph,Johnson,(555) 555-4506,,Declined,Do Not Contact,,Inactive
LL-542417,John,Johnson,(555) 555-1535,,$50,Do Not Contact,Large Sign,Interested
LL-571029,Kimberly,Singh,(555) 555-0106,kimberly.singh90@example.com,$100,Strong Support,Requested - Pending,Canvasser
LL-207175,Barbara,Harris,(555) 555-1584,barbara.harris78@example.org,,Against,Removed,
LL-496922,William,Scott,(555) 555-4803,william.scott47@example.net,Declined,,,Lead Volunteer
LL-338968,Emily,Garcia,(555) 555-3814,emily.garcia36@example.org,$250,Strong Support,Lawn Sign,Canvasser
LL-319684,Paul,Hall,(555) 555-1169,paul.hall69@example.com,$25,Against,Large Sign,Active
LL-771088,Mark,Baker,(555) 555-5313,mark.baker30@example.com,$250,Lean Against,Requested - Delivered,
LL-321231,Kenneth,Wilson,(555) 555-8179,,$25,Support,Removed,Data Entry
LL-375504,Jason,Bailey,(555) 555-9560,jason.bailey18@example.com,,,,
LL-757924,Christopher,Patel,(555) 555-6916,christopher.patel49@example.org,"$1,000",Do Not Contact,Requested - Delivered,Data Entry
LL-112038,Joseph,Baker,(555) 555-8797,,$500,Strong Support,Window Sign,
LL-857168,Dorothy,Allen,(555) 555-2927,dorothy.allen81@example.com,Lapsed,Do Not Contact,Declined,Interested
LL-260263,Melissa,Carter,(555) 555-2646,melissa.carter1@example.net,"$1,000",,,Canvasser
LL-972064,Donna,Thomas,(555) 555-0949,,"$1,000",,Removed,
LL-234628,Aisha,Scott,(555) 555-2705,aisha.scott55@example.net,$50 (monthly),Support,Requested - Delivered,Phone Bank
LL-804314,Melissa,Lewis,(555) 555-8479,,,Moved,Removed,Interested
LL-717024,Mark,Smith,(555) 555-1163,,,Undecided,,Data Entry
LL-349565,Kimberly,Nelson,(555) 555-7953,kimberly.nelson93@example.com,$100 (monthly),Moved,Window Sign,Interested
LL-922733,Aisha,Singh,(555) 555-6669,aisha.singh85@example.com,$500,Lean Against,Window Sign,
LL-806073,Richard,Brown,(555) 555-6596,richard.brown32@example.com,$50 (monthly),Against,,Phone Bank
LL-292401,Kimberly,Robinson,(555) 555-4092,kimberly.robinson57@example.com,$50 (monthly),,,Lead Volunteer
LL-666847,Mary,Garcia,(555) 555-3872,mary.garcia62@example.org,$500,,,Phone Bank
LL-102260,Deborah,Taylor,(555) 555-7454,deborah.taylor94@example.net,$50 (monthly),Against,,Interested
LL-411120,Betty,Brown,(555) 555-9489,betty.brown96@example.com,,Moved,Window Sign,Data Entry
LL-994141,Liam,Hernandez,(555) 555-0931,,,Support,Large Sign,
LL-697347,Ashley,Nguyen,,ashley.nguyen54@example.com,$100 (monthly),Do Not Contact,Lawn Sign,Active
LL-314181,Kenneth,Thomas,(555) 555-4351,kenneth.thomas83@example.net,$250,,,Driver
LL-751332,Richard,Jones,(555) 555-8808,richard.jones17@example.org,,Support,Lawn Sign,Active
LL-265409,Jeffrey,Kim,(555) 555-8900,jeffrey.kim84@example.net,Lapsed,Do Not Contact,Requested - Delivered,Lead Volunteer
LL-208618,Sarah,Taylor,(555) 555-1891,sarah.taylor71@example.net,$100,Moved,Requested - Pending,Canvasser
LL-313487,Dorothy,Allen,(555) 555-8004,dorothy.allen12@example.com,$100,,,Canvasser
LL-908577,Thomas,Green,(555) 555-4291,thomas.green71@example.org,$50 (monthly),,,
LL-824586,Karen,Wright,(555) 555-0590,,$25,,Requested - Delivered,Canvasser
LL-934794,Jennifer,Bailey,(555) 555-5862,,$50 (monthly),Lean Against,Declined,
LL-348237,Christopher,Singh,(555) 555-2900,christopher.singh23@example.com,$250,Lean Against,Requested - Pending,Active
LL-266931,Susan,Harris,(555) 555-0634,susan.harris26@example.com,"$1,000",Undecided,Requested - Delivered,Interested
LL-333752,Patricia,Nelson,(555) 555-3164,patricia.nelson9@example.org,$100,Undecided,Removed,Phone Bank
LL-812526,Olivia,Perez,,olivia.perez23@example.org,$100,,,Inactive
LL-555673,Brian,Campbell,(555) 555-5139,brian.campbell15@example.net,$100 (monthly),Support,Requested - Delivered,
LL-843215,Sharon,Smith,(555) 555-8518,sharon.smith88@example.net,Declined,Support,Lawn Sign,Phone Bank
LL-173372,Kevin,Flores,(555) 555-5143,kevin.flores93@example.com,$50 (monthly),Lean Support,Large Sign,Canvasser
LL-521947,Emily,Scott,(555) 555-2085,emily.scott49@example.net,$25,Moved,Declined,Active
LL-525800,James,Martin,(555) 555-4700,james.martin78@example.net,"$1,000",Against,Window Sign,Lead Volunteer
LL-324082,Diego,Walker,(555) 555-2780,diego.walker66@example.org,$100 (monthly),Undecided,,Interested
LL-805477,Donna,Anderson,(555) 555-3262,donna.anderson32@example.com,$100 (monthly),,Window Sign,Phone Bank
LL-760356,Matthew,Rivera,(555) 555-6291,matthew.rivera19@example.com,,,Large Sign,Interested
LL-284430,Fatima,Robinson,(555) 555-0822,,"$1,000",Do Not Contact,Removed,Inactive
